Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,6/5/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bahrain,BHR,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.457476458,13.79018747,1.022051482,4.641755548,4.718046947,1.958064934,0.452073683,0.679068706,0.34942271,2.629939915,30.3890668,20.80419162,-0.663753166,-4.067782754,-0.844961839,-2.756760484,3.689753619,3.261512723,0.380954758,-2.548514331,29.47372966,9.161766043,-9.059984519,
"Bahamas, The",BHS,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.728247531,-6.024437884,-1.185502919,4.136347525,-0.832934526,2.582560726,3.615220989,-22.31253891,-1.235728149,6.671092523,4.830759528,5.194707533,0.521472162,0.675220457,11.69732616,-2.140201505,1.944158172,-1.42564017,-2.201034347,-3.176339077,1.274613881,6.281918705,49.37636151,0.867446524,-5.445994076,1.396211814,-7.051364573,-0.226298061,12.07950047,1.698551366,-45.05817367,22.29149102,43.10872746,4.513924228,
Bosnia and Herzegovina,BIH,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.784223525,-5.176898949,13.0966421,17.47858763,15.72809346,18.77204203,12.38160311,1.145218176,-3.176010958,13.90052393,4.644009562,0.107438474,7.856493211,4.163053343,9.782805057,9.367880679,11.82100474,7.2784585,0.504389421,-15.84752836,26.07672486,11.98933784,-1.249999764,
Belarus,BLR,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.099997669,-34.00000477,-22.39999139,-1.199999536,-22.00000085,7.799987488,33.90000467,-8.299998212,6.999995175,12.70000593,13.09201603,8.405623778,8.59271526,13.50053359,-2.69998004,8.172465102,5.600577228,2.100095608,-7.832240151,7.669202813,30.40010485,11.19999344,-14.60001107,4.600016199,2.100728764,2.599959116,7.45546794,3.800193842,0.966345016,-3.749546046,10.05103247,-21.04973071,18.69784738,
Belize,BLZ,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,49.43798688,-27.17629823,-4.645979146,39.35350976,-7.348777091,15.3171506,16.83810012,8.16166949,10.05584316,12.17005009,-2.276422764,29.61730449,2.952503209,6.857855362,-5.134189032,5.289052891,13.20093458,5.056759546,11.49312377,10.22026432,4.956035172,9.520182788,13.21279555,5.773955774,9.988385598,23.2312566,-18.68037704,4.636459431,4.380664653,0.434153401,3.170028818,10.66108007,-1.177955406,1.021711367,-2.402022756,-8.937823834,-1.754385965,9.604247104,5.328049317,-29.68227425,35.85017836,14.3107221,10.88480858,
Bermuda,BMU,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.34685265,7.328828762,-10.23255832,5.851315034,-3.278790266,-9.866383237,4.224925036,9.820591563,6.107791481,
Bolivia,BOL,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,0.58737149,7.883211724,18.96869246,6.656346731,3.846153856,13.20754716,23.82716051,0.498504477,2.678571438,-9.710144958,11.55086487,10.41862212,11.23087384,-0.9996026,-4.400049412,10.75869643,-2.009214985,-2.990804396,1.558377816,-4.787638988,1.293032004,-13.12178564,1.904315658,-6.065502897,-18.74205163,19.13248292,1.104869154,6.708906113,24.60970114,11.06842533,7.293800256,1.112805347,5.304598804,15.09650186,9.118289874,4.068659369,-2.110217894,6.482429425,-12.80479664,15.04061126,8.377226923,5.693240418,12.16305313,16.62054629,8.336314822,11.33683318,3.089167777,2.174534532,-10.75565886,9.852630126,4.593155932,13.29558531,4.09489657,10.86546108,-5.918699325,-5.714343226,-4.974505643,5.19000968,-1.819688884,-18.79985719,15.42209121,15.09035384,-8.769789569,
Brazil,BRA,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,5.194085912,-7.406970941,27.99995372,-13.54186157,3.616848234,11.62784051,-3.125257585,16.12945408,19.44440199,173.5839193,5.509625094,24.16351374,14.25471004,2.333569349,11.57271881,-0.293095515,-0.381963888,13.25176698,9.299890837,22.61429164,2.0822797,-17.30649752,49.51537145,29.33458252,-7.082916786,-23.43969709,10.46803406,19.02406819,-21.01548307,-12.02755849,6.9514518,24.66113703,1.149309583,-4.596354723,-17.36195397,-0.419864502,11.01928872,4.908205322,5.706289582,12.86054936,9.230526893,6.476821943,11.01593942,14.4737797,9.644189671,4.837427876,6.17610164,0.409250982,-9.247066469,11.72172151,4.811946379,0.707641644,1.830295075,-1.569680443,6.819563948,0.863125556,4.908793377,4.053083682,-2.561421037,-2.290905832,4.382256602,5.742839876,1.023138809,
Barbados,BRB,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.277560912,8.769074128,6.041900553,-2.787087701,2.848847557,16.81369066,-3.443588592,-5.068042738,-9.952216311,13.96157325,11.88941098,-1.18853049,7.209351028,2.448027757,-2.284399323,-2.382871922,4.489124596,-9.25327866,-7.085387361,-6.636540029,11.87380453,-2.999817008,1.213122102,-5.677483463,-0.097697134,-9.948871926,-3.18532058,-4.070325698,5.704785097,14.88085812,7.622720962,8.417062753,7.156028166,-2.235081423,
